r58d2 l440449
r38d1 l806038
r18d1 l1420235
r7d2 l1732024
r14d1 l1856572
r59d2 l259195
r28d1 l148827
r18d1 l1430517
r50d2 l737138
r39d2 l831405
r28d2 l141435
r22d1 l1968505
r39d2 l831402
r34d1 l863121
r54d2 l338944
r10d1 l1575542
r8d1 l1712926
r26d1 l24989
r18d1 l1411468
r10d1 l1575549
r42d2 l1054336
r13d2 l1543106
r14d2 l1479883
r59d2 l263313
r4d1 l1664413
r67d2 l567797
r21d1 l1898269
r34d2 l837808
r47d2 l1120182
r5d1 l1634046
r11d1 l1829300
r42d1 l976588
r47d1 l1146385
r63d1 l1294740
r63d1 l1293530
r18d1 l1407724
r49d1 l1252171
r41d1 l1016964
r41d1 l1018727
r26d1 l38236
r13d2 l1535010
r8d1 l1721013
r34d1 l872584
r5d2 l1620352
r11d2 l1814916
r26d2 l58837
r55d2 l407049
r25d2 l110384
r49d1 l1255770
r5d1 l1634265
r45d1 l1175074
r18d2 l1447790
r69d2 l505402
r50d1 l1216872
r22d2 l1988708
r5d1 l1634598
r34d2 l845673
r21d1 l1913855
r58d2 l442171
r42d2 l951951
r59d2 l248502
r35d1 l903349
r42d2 l952786
r41d2 l1039359
r58d1 l289094
r38d1 l801915
r18d1 l1419681
r39d2 l753321
r62d1 l733347
r5d2 l1683683
r46d1 l1106794
r62d1 l734805
r25d1 l77998
r19d1 l1389809
r5d1 l1638395
r5d1 l1638397
r63d2 l1332249
r10d1 l1571040
r54d1 l367481
r11d1 l1822375
r11d2 l1781893
r54d1 l390669
r19d2 l1470646
r66d2 l655938
r42d1 l977064
r41d1 l1012607
r59d1 l224616
r50d1 l1207475
r19d1 l1392475
r25d1 l80989
r34d1 l876118
r14d2 l1552365
r8d2 l1727750
r45d2 l1194124
r55d2 l327451
r28d1 l152819
r18d1 l1414417
r63d2 l1318596
r21d2 l1928554
r28d1 l164503
r47d1 l1142037
r11d1 l1831310
r4d1 l1668911
r22d2 l1998980
r49d2 l1247748
r7d1 l1751179
r39d1 l780281
r54d2 l343294
r45d2 l1111645
r10d1 l1570499
r25d2 l124808
r63d1 l1300704
r59d2 l250035
r63d1 l681987
r38d1 l818623
r67d2 l577854
r69d2 l519009
r49d1 l1249369
r25d2 l120499
r66d2 l644590
r19d1 l1390112
r14d1 l1885817
r22d1 l1961900
r62d2 l715861
r41d2 l1043465
r46d1 l1102541
r19d1 l1380239
r58d2 l309514
r19d1 l1399345
r62d1 l730630
r39d1 l761080
r62d1 l730636
r54d2 l352699
r57d1 l488075
r54d2 l352691
r54d2 l329148
r14d1 l1880442
r18d1 l1424242
r19d2 l1477697
r14d1 l1857071
r26d1 l36812
r21d1 l1922897
r18d2 l1451829
r62d1 l718849
r42d2 l1051263
r5d1 l1637813
r62d1 l725587
r28d1 l153855
r59d2 l277881
r29d1 l4983
r19d2 l1471694
r21d2 l1945002
r4d1 l1657977
r13d1 l1521629
r22d2 l1954877
r45d1 l1182436
r25d1 l88845
r34d2 l837783
r47d2 l1126053
r55d2 l407465
r11d1 l1817670
r4d1 l1656030
r49d2 l1242878
r5d2 l1686223
r29d1 l5997
r63d1 l669184
r69d2 l503242
r25d1 l94506
r35d2 l936040
r11d2 l1805291
r5d1 l1632884
r26d2 l20895
r11d2 l1797803
r59d2 l254274
r59d1 l223837
r41d2 l1049010
r7d1 l1747985
r5d2 l1685686
r10d1 l1565692
r41d1 l1021700
r11d1 l1834480
r34d2 l850470
r14d1 l1869724
r11d1 l1847714
r62d2 l710459
r41d2 l1045619
r39d2 l831366
r50d1 l1208173
r59d1 l227447
r63d2 l665465
r34d1 l864351
r13d1 l1510789
r45d2 l1197172
r11d1 l1848863
r41d1 l1025845
r62d2 l703803
r11d2 l1786813
